"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Transaction Management","51","0","Create Transaction","0"
"0","","0","Transaction Management","69","0","Update Transaction","0"
"0","","0","Dashboard","7","0","Data Aggregation","0"
"0","","0","Category Management","21","0","Create Category","0"
"0","","0","Authentication","9","0","Login User","0"
"0","","0","Budget Management","23","0","Create Budget","0"
"0","","0","Profile Management","29","0","Update Profile","0"
"0","","0","Profile Management","5","0","Monobank Token Management","0"
"0","","0","Budget Management","12","0","Update Budget","0"
"0","","0","Authentication","7","0","Refresh Token","0"
"0","","0","Reporting","33","0","Generate PDF Report","0"
"0","","0","Category Management","5","0","Retrieve Categories","0"
"0","","0","Reporting","21","0","Check Report Status","0"
"0","","0","Profile Management","15","0","Change Password","0"
"0","","0","","12","0","","0"
"0","","0","Budget Management","5","0","Delete Budget","0"
"0","","0","Transaction Management","5","0","Retrieve Transaction","0"
"0","","0","Category Management","19","0","Update Category","0"
"0","","0","Monobank Integration","11","0","Transaction Synchronization","0"
"0","","0","Authentication","3","0","Logout User","0"
"0","","0","Profile Management","2","0","Delete Profile","0"
"0","","0","Budget Management","8","0","Retrieve Budgets","0"
"0","","0","Profile Management","3","0","Update Currency","0"
"0","","0","Transaction Management","6","0","Delete Transaction","0"
"0","","0","Profile Management","3","0","Demo Account Restrictions","0"
"0","","0","Profile Management","3","0","Recalculate Initial Point","0"
"0","","0","Dashboard","5","0","Retrieve Dashboard Data","0"
"0","","0","User Management","11","0","Registration","0"
"0","","0","Profile Management","6","0","Update Mono Token","0"
"0","","0","Category Management","9","0","Delete Category","0"
"0","","0","Dashboard","9","0","Static Calculation Utilities","0"
"0","","0","Reporting","8","0","Report History","0"
"0","","0","Profile Management","2","0","Delete Mono Token","0"
"0","","0","Caching System","2","0","Integration caching flow for categories","0"
"0","","0","Profile Management","4","0","Retrieve Profile","0"
"0","","0","Authentication","2","0","Demo Account","0"
"0","","0","Profile Management","3","0","Delete Account","0"
