"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Successfully initiate PDF report generation (Async)","FinMate Backend","2026-08-03","passed","2026-08-03","TestGeneratePDFReport","Unit Tests","",""
"","8","API Validation errors on transaction update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransactions","Integration Tests","",""
"","21","Successfully initiate report generation and queue in Redis","FinMate Backend","2026-08-03","passed","2026-08-03","TestGenerateReport","Integration Tests","",""
"","2","Fail to update category with invalid icon","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateCategory","Unit Tests","",""
"","2","Successfully fetch report history list","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetReportHistory","Unit Tests","",""
"","2","Retrieve all categories for a user","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetCategories","Unit Tests","",""
"","4","Fail to create category with duplicate name","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateCategory","Unit Tests","",""
"","1","Validation fails on invalid date payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestGeneratePDFReport","Unit Tests","",""
"Validation error for invalid input data","1","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"","10","Return existing PROCESSED report URL instead of regenerating","FinMate Backend","2026-08-03","passed","2026-08-03","TestGenerateReport","Integration Tests","",""
"Validation error for invalid input data","1","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"Validation error for invalid input data","1","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"","2","Fail to update budget without authorization","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateBudgets","Integration Tests","",""
"Attempting to update forbidden fields of a synchronized transaction","2","Fail to update forbidden fields for a synchronized transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","9","API Validation errors on transaction update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransactions","Integration Tests","",""
"","88","Registration fails due to username conflict","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateUser","Unit Tests","",""
"","2","Fail to delete non-existent budget","FinMate Backend","2026-08-03","passed","2026-08-03","TestDeleteBudget","Unit Tests","",""
"","29","Fail to create category exceeding maximum limit","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateCategory","Integration Tests","",""
"","1","Fail to retrieve categories without authorization","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetCategories","Integration Tests","",""
"Validation error for invalid input data during transaction update","1","Validation errors on invalid transaction fields during update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","10","API Validation errors on budget update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateBudgets","Integration Tests","",""
"","8","API Validation errors on category update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateCategory","Integration Tests","",""
"","1","Fail to retrieve profile without authorization","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetUser","Integration Tests","",""
"Successful transaction deletion","2","Successfully delete a manual transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestDeleteTransaction","Unit Tests","",""
"","9","API Validation errors on budget update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateBudgets","Integration Tests","",""
"","7","Successfully logout user and invalidate JWT token","FinMate Backend","2026-08-03","passed","2026-08-03","TestLogout","Integration Tests","",""
"Category not found or access denied during transaction update","3","Fail update if assigned category does not exist","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","13","Validation errors on invalid payload during creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateBudget","Unit Tests","",""
"","8","API Validation errors on transaction update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransactions","Integration Tests","",""
"","1","test_redis_client_not_initialized","FinMate Backend","2026-08-03","passed","2026-08-03","TestRedisCacheDecorator","Unit Tests","",""
"","2","API Validation errors on budget creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateBudgets","Integration Tests","",""
"","8","Map expired links to null inside report history","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetReportHistory","Integration Tests","",""
"Successful non-synchronized transaction update","2","Successfully update non-synchronized transaction fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","26","Verify dashboard statistics calculation","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetDashboard","Integration Tests","",""
"","3","Successfully refresh tokens (remember_me=True)","FinMate Backend","2026-08-03","passed","2026-08-03","TestRefreshAccessToken","Unit Tests","",""
"","2","Fail to update non-existent category","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateCategory","Unit Tests","",""
"","1","Fail to retrieve transaction without authorization","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetTransactions","Integration Tests","",""
"Test validation schema with no valid fields","1","Validation errors on invalid profile fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestProfileUpdate","Unit Tests","",""
