"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9780","User can download an existing report from the reports history","chromium","2026-08-13","passed","2026-08-13","Reports Page","e2e/reports.spec.ts","",""
"","1259","Logout from header","chromium","2026-08-13","passed","2026-08-13","Header Navigation","e2e/header.spec.ts","",""
"","1838","User can see correct remaining amount after creating a budget","chromium","2026-08-13","passed","2026-08-13","Budgets Page","e2e/budgets.spec.ts","",""
"","1337","User sees validation errors when changing password with empty fields","chromium","2026-08-13","passed","2026-08-13","Profile Page > Change Password","e2e/profile.spec.ts","",""
"","1566","User can edit a category","chromium","2026-08-13","passed","2026-08-13","Profile Page > Categories","e2e/profile.spec.ts","",""
"","1523","User can edit their profile","chromium","2026-08-13","passed","2026-08-13","Profile Page","e2e/profile.spec.ts","",""
"","1650","User can disconnect from Monobank","chromium","2026-08-13","passed","2026-08-13","Profile Page > Monobank Integration","e2e/profile.spec.ts","",""
"","1359","User cannot add a transaction with empty form","chromium","2026-08-13","passed","2026-08-13","Dashboard Actions","e2e/dashboard.actions.spec.ts","",""
"","1337","User can create a new budget","chromium","2026-08-13","passed","2026-08-13","Budgets Page","e2e/budgets.spec.ts","",""
"","1423","restores the session after a hard reload","chromium","2026-08-13","passed","2026-08-13","","e2e/auth.restore.spec.ts","",""
"","1351","Navigate to Dashboard from header","chromium","2026-08-13","passed","2026-08-13","Header Navigation","e2e/header.spec.ts","",""
"","1386","User can delete a category","chromium","2026-08-13","passed","2026-08-13","Profile Page > Categories","e2e/profile.spec.ts","",""
"","2332","Balance Dynamics chart is rendered correctly","chromium","2026-08-13","passed","2026-08-13","Dashboard View > Charts","e2e/dashboard.view.spec.ts","",""
"","1205","Navigate to Profile from header","chromium","2026-08-13","passed","2026-08-13","Header Navigation","e2e/header.spec.ts","",""
"","1696","User can edit amount and type of a transaction","chromium","2026-08-13","passed","2026-08-13","Dashboard Actions","e2e/dashboard.actions.spec.ts","",""
"","1356","User can delete a budget","chromium","2026-08-13","passed","2026-08-13","Budgets Page","e2e/budgets.spec.ts","",""
"","990","(Client Validation) User cannot register with Invalid email format","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","1214","User cannot generate a report with invalid date range","chromium","2026-08-13","passed","2026-08-13","Reports Page","e2e/reports.spec.ts","",""
"","9089","User can generate a report for a custom date range","chromium","2026-08-13","passed","2026-08-13","Reports Page","e2e/reports.spec.ts","",""
"","1330","User sees validation error when new password and confirm password do not match","chromium","2026-08-13","passed","2026-08-13","Profile Page > Change Password","e2e/profile.spec.ts","",""
"","983","User cannot login with Empty email","chromium","2026-08-13","passed","2026-08-13","Login Actions","e2e/login.spec.ts","",""
"","1289","User cannot register with duplicate data: username","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","944","User can navigate to registration page from login page","chromium","2026-08-13","passed","2026-08-13","Login Actions","e2e/login.spec.ts","",""
"","9115","User can generate a report for the last month using quick range selection","chromium","2026-08-13","passed","2026-08-13","Reports Page","e2e/reports.spec.ts","",""
"","1369","User sees error when current password match with new password","chromium","2026-08-13","passed","2026-08-13","Profile Page > Change Password","e2e/profile.spec.ts","",""
"","895","Register page should display title correctly","chromium","2026-08-13","passed","2026-08-13","Register Page Visuals","e2e/register.spec.ts","",""
"","1213","Navigate to Budgets from header","chromium","2026-08-13","passed","2026-08-13","Header Navigation","e2e/header.spec.ts","",""
"","1155","Login with Remember me unchecked","chromium","2026-08-13","passed","2026-08-13","Login Actions","e2e/login.spec.ts","",""
"","933","User can navigate to login page from register page","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","1010","User cannot login with wrong email","chromium","2026-08-13","passed","2026-08-13","Login Actions","e2e/login.spec.ts","",""
"","1306","User cannot register with duplicate data: email","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","1281","User can register with valid credentials","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","1230","User sees error toast if sync fails","chromium","2026-08-13","passed","2026-08-13","Dashboard Actions > Bank sync","e2e/dashboard.actions.spec.ts","",""
"","891","Login page should display title correctly","chromium","2026-08-13","passed","2026-08-13","Login Page Visuals","e2e/login.spec.ts","",""
"","1001","(Client Validation) User cannot register with Username too long","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","1094","User cannot login with wrong password","chromium","2026-08-13","passed","2026-08-13","Login Actions","e2e/login.spec.ts","",""
"","1145","User can login with valid credentials","chromium","2026-08-13","passed","2026-08-13","Login Actions","e2e/login.spec.ts","",""
"","999","(Client Validation) User cannot register with Empty confirm password","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","1235","User completes full sync flow","chromium","2026-08-13","passed","2026-08-13","Dashboard Actions > Bank sync","e2e/dashboard.actions.spec.ts","",""
"","1308","User sees validation errors when creating category with empty fields","chromium","2026-08-13","passed","2026-08-13","Profile Page > Categories","e2e/profile.spec.ts","",""
"","3512","User keeps waiting while sync is started","chromium","2026-08-13","passed","2026-08-13","Dashboard Actions > Bank sync","e2e/dashboard.actions.spec.ts","",""
"","1538","User can delete an existing transaction","chromium","2026-08-13","passed","2026-08-13","Dashboard Actions","e2e/dashboard.actions.spec.ts","",""
"","974","User cannot login with Invalid email format without @","chromium","2026-08-13","passed","2026-08-13","Login Actions","e2e/login.spec.ts","",""
"","996","(Client Validation) User cannot register with Empty username","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","1181","Login with Remember me checked","chromium","2026-08-13","passed","2026-08-13","Login Actions","e2e/login.spec.ts","",""
"","1518","User can create a new category","chromium","2026-08-13","passed","2026-08-13","Profile Page > Categories","e2e/profile.spec.ts","",""
"","1000","(Client Validation) User cannot register with Username too short","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","2226","User sees error when current password is incorrect","chromium","2026-08-13","passed","2026-08-13","Profile Page > Change Password","e2e/profile.spec.ts","",""
"","1354","User sees error when entering invalid Monobank API token","chromium","2026-08-13","passed","2026-08-13","Profile Page > Monobank Integration","e2e/profile.spec.ts","",""
"","1721","User can add a new Income transaction","chromium","2026-08-13","passed","2026-08-13","Dashboard Actions","e2e/dashboard.actions.spec.ts","",""
"","971","User cannot login with Empty password","chromium","2026-08-13","passed","2026-08-13","Login Actions","e2e/login.spec.ts","",""
"","1612","User can edit category and note of a transaction","chromium","2026-08-13","passed","2026-08-13","Dashboard Actions","e2e/dashboard.actions.spec.ts","",""
"","1726","User can edit all fields of a transaction","chromium","2026-08-13","passed","2026-08-13","Dashboard Actions","e2e/dashboard.actions.spec.ts","",""
"","1344","User can edit an existing budget","chromium","2026-08-13","passed","2026-08-13","Budgets Page","e2e/budgets.spec.ts","",""
"","1314","Budget limit warning is displayed when total budgets exceed limit","chromium","2026-08-13","passed","2026-08-13","Budgets Page","e2e/budgets.spec.ts","",""
"","1009","(Client Validation) User cannot register with Empty email","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","1017","(Client Validation) User cannot register with Password too long","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","1335","User can delete their account","chromium","2026-08-13","passed","2026-08-13","Profile Page","e2e/profile.spec.ts","",""
"","1483","User can connect to Monobank","chromium","2026-08-13","passed","2026-08-13","Profile Page > Monobank Integration","e2e/profile.spec.ts","",""
"","965","User cannot login with Invalid email format without domain","chromium","2026-08-13","passed","2026-08-13","Login Actions","e2e/login.spec.ts","",""
"","3685","Expense by Category chart are render correctly","chromium","2026-08-13","passed","2026-08-13","Dashboard View > Charts","e2e/dashboard.view.spec.ts","",""
"","287","authenticate API only","setup","2026-08-13","passed","2026-08-13","","auth.setup.ts","",""
"","1530","User can change password","chromium","2026-08-13","passed","2026-08-13","Profile Page > Change Password","e2e/profile.spec.ts","",""
"","996","(Client Validation) User cannot register with Pass & conf_pass do not match","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","6349","Dashboard should display correct initial state for new user","chromium","2026-08-13","failed","2026-08-13","Dashboard View","e2e/dashboard.view.spec.ts","",""
"","1539","User can navigate through transaction pages","chromium","2026-08-13","passed","2026-08-13","Dashboard Actions > Pagination","e2e/dashboard.actions.spec.ts","",""
"","1015","(Client Validation) User cannot register with Short password","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","972","(Client Validation) User cannot register with Empty password","chromium","2026-08-13","passed","2026-08-13","Register Actions","e2e/register.spec.ts","",""
"","1715","User can add a new Expense transaction","chromium","2026-08-13","passed","2026-08-13","Dashboard Actions","e2e/dashboard.actions.spec.ts","",""
"","1262","User cant generate a report without transactions in the selected period","chromium","2026-08-13","passed","2026-08-13","Reports Page","e2e/reports.spec.ts","",""
"","1715","User can filter transactions","chromium","2026-08-13","passed","2026-08-13","Dashboard View","e2e/dashboard.view.spec.ts","",""
